ROUND,OPP,TF,CF,PF,DGF,TA,CA,PA,DGA
1,CHIEFS,0,0,6,0,2,2,3,0
2,STORMERS,1,1,3,0,2,1,5,0
3,CHEETAHS,3,3,1,0,3,2,2,0
4,LIONS,1,1,1,0,1,1,2,0
5,HURRICANES,2,2,3,0,4,2,2,0
7,WARATAHS,1,0,2,0,2,2,3,0
8,CHIEFS,1,1,3,0,2,2,3,0
9,BRUMBIES,1,1,3,0,1,0,3,0
10,HIGHLANDERS,4,2,0,0,3,3,3,0
11,CRUSADERS,2,1,1,0,4,3,1,0
12,FORCE,5,5,2,0,4,2,0,0
13,REBELS,3,2,1,0,5,4,3,0
14,BULLS,2,2,3,0,2,1,2,0
15,HURRICANES,1,0,0,0,4,3,1,0
17,CRUSADERS,1,0,2,0,4,4,2,0
18,HIGHLANDERS,1,1,0,0,7,3,1,0
