ROUND,OPP,TF,CF,PF,DGF,TA,CA,PA,DGA
1,LIONS,2,0,4,0,1,0,1,0
2,BULLS,1,0,4,0,1,1,2,0
3,FORCE,5,4,3,0,1,1,2,0
5,BLUES,4,2,2,0,2,2,3,0
6,HIGHLANDERS,2,2,2,0,1,1,2,0
7,REBELS,5,4,1,0,0,0,4,0
8,STORMERS,3,2,2,0,2,2,2,0
