ROUND,OPP,TF,CF,PF,DGF,TA,CA,PA,DGA
1,HURRICANES,1,0,1,0,2,0,4,0
2,SHARKS,0,0,4,0,4,3,1,0
3,STORMERS,1,1,4,0,1,1,5,0
4,BLUES,1,1,2,0,1,1,1,0
5,CRUSADERS,0,0,2,0,4,4,2,0
6,REBELS,2,2,2,0,2,0,2,0
