ROUND,OPP,TF,CF,PF,DGF,TA,CA,PA,DGA
2,CRUSADERS,2,2,2,0,2,2,4,0
3,REDS,1,0,5,0,1,1,2,0
4,CHIEFS,1,0,5,0,2,2,1,0
