ROUND,OPP,TF,CF,PF,DGF,TA,CA,PA,DGA
1,BLUES,2,2,3,0,0,0,6,0
2,BRUMBIES,1,1,4,0,1,0,4,0
3,CRUSADERS,5,3,3,0,1,1,3,0
4,HIGHLANDERS,2,2,1,0,1,0,5,0
