ROUND,OPP,TF,CF,PF,DGF,TA,CA,PA,DGA
1,FORCE,2,0,1,0,4,1,1,0
2,REBELS,4,3,4,0,4,4,0,0
4,REDS,2,2,3,0,1,0,0,0
5,HIGHLANDERS,3,2,0,0,5,3,0,0
6,BRUMBIES,3,2,3,0,1,1,2,0
7,BLUES,2,2,3,0,1,0,2,0
