ROUND,OPP,TF,CF,PF,DGF,TA,CA,PA,DGA
1,BRUMBIES,0,0,1,0,6,4,3,0
2,FORCE,2,1,2,0,0,0,2,0
3,HIGHLANDERS,1,1,2,0,1,0,5,0
4,WARATAHS,1,0,0,0,2,2,3,0
5,BRUMBIES,0,0,0,0,5,2,0,0
