ROUND,OPP,TF,CF,PF,DGF,TA,CA,PA,DGA
1,STORMERS,1,0,4,0,2,2,4,1
2,HURRICANES,1,1,2,0,1,0,4,0
3,SHARKS,4,4,5,0,2,2,7,0
4,CHEETAHS,3,3,5,1,2,2,2,0
6,FORCE,1,1,6,0,3,3,1,0
7,CRUSADERS,3,2,4,0,1,1,4,0
8,LIONS,0,0,6,0,1,1,5,0
9,REDS,6,5,1,0,4,1,0,0
10,SHARKS,1,0,4,0,1,1,1,0
11,STORMERS,1,1,2,0,0,0,5,0
12,LIONS,4,3,3,0,3,3,4,0
14,BLUES,2,1,2,0,2,2,3,0
15,CHIEFS,3,1,1,0,5,3,1,0
